optimizer_step,lead_days,metric,field,region,mean,p10,p90
3840,530,rmse,qx,wet,5.3444168608121165,4.338866926774512,6.342134485162384
3840,540,rmse,qx,wet,5.532980950175759,4.510352386269398,6.478108680870887
3840,550,rmse,qx,wet,5.781155536401348,4.71909735856892,6.639814033055331
3840,560,rmse,qx,wet,6.060424147830011,4.978150555452832,6.82021971563928
3840,570,rmse,qx,wet,6.3332769043943,5.2192970314396785,7.1130542351095265
3840,580,rmse,qx,wet,6.633126701874506,5.47813003769425,7.5961513563934515
3840,590,rmse,qx,wet,6.962823975451892,5.774129602893175,7.93965105813686
3840,600,rmse,qx,wet,7.317232914716044,6.097780668925118,8.304835821447048
3840,610,rmse,qx,wet,7.70451834234109,6.4441803472450605,8.66672672509718
3840,620,rmse,qx,wet,8.123662070733705,6.81098683622258,9.058245982163434
3840,630,rmse,qx,wet,8.559733457517927,7.24138844728677,9.55079067026
3840,640,rmse,qx,wet,9.000858105869465,7.6811323938929466,10.101000290392836
3840,650,rmse,qx,wet,9.45533319533135,8.126937791197722,10.608656196812685
3840,660,rmse,qx,wet,9.946772104919278,8.580224854826996,11.151387494712877
3840,670,rmse,qx,wet,10.457565518503316,9.013640902093986,11.761221170027158
3840,680,rmse,qx,wet,10.975691503115446,9.437241470584771,12.326301490592787
3840,690,rmse,qx,wet,11.517668195912963,9.861470152820198,12.85657189556798
3840,700,rmse,qx,wet,12.0869713206607,10.278239788321125,13.411430560722842
3840,710,rmse,qx,wet,12.669330006901788,10.72411598024386,13.956187782509144
3840,720,rmse,qx,wet,13.280926190377821,11.26835183971894,14.548307863706757
3840,730,rmse,qx,wet,13.926347561777531,11.86591852935024,15.186982983434055
3840,740,rmse,qx,wet,14.608382160511145,12.463563107364022,15.824409410844781
3840,750,rmse,qx,wet,15.33982165374908,13.119605031050465,16.514948862682463
3840,760,rmse,qx,wet,16.116717257387208,13.818193376745276,17.345383597253846
3840,770,rmse,qx,wet,16.925099651707377,14.587659405079552,18.20798362675155
