field,mode,truth_energy,model_energy,model_over_truth,frozen_valid,band
phihyd_mid,28,0.0001227885391724865,0.036241740992085804,295.15573062706954,False,intermediate_or_invalid
phihyd_mid,29,0.0001081644276887851,0.026291956566274165,243.0739673668168,False,intermediate_or_invalid
phihyd_mid,30,6.34996799514435e-05,0.02242697721036772,353.1825235578672,False,intermediate_or_invalid
phihyd_bottom,1,24739.250477430556,23042.83871527778,0.9314283282874556,True,large_k1_to_k5
phihyd_bottom,2,1176.992829047309,1419.9629204644098,1.206432941153743,True,large_k1_to_k5
phihyd_bottom,3,87.36971638997396,125.0721812778049,1.4315278387713464,True,large_k1_to_k5
phihyd_bottom,4,14.876150682237412,31.89742965698242,2.1441991505953855,True,large_k1_to_k5
phihyd_bottom,5,4.150824991861979,13.449692429436578,3.240245603176661,True,large_k1_to_k5
phihyd_bottom,6,2.528244662284851,6.05134949684143,2.3934983773970053,True,intermediate_or_invalid
phihyd_bottom,7,1.2405755254957411,5.814398463567098,4.6868556924364855,True,intermediate_or_invalid
phihyd_bottom,8,0.5357894076241387,3.611161216100057,6.739889151808915,True,intermediate_or_invalid
phihyd_bottom,9,0.23291222121980454,2.2439874635802375,9.634477108277352,True,intermediate_or_invalid
phihyd_bottom,10,0.07501114913158946,1.412054631445143,18.82459671385682,True,tail_k10_plus
phihyd_bottom,11,0.035746921723087625,0.8543025573094686,23.898632836899797,True,tail_k10_plus
phihyd_bottom,12,0.013752111751172278,0.722680057419671,52.55047882795653,True,tail_k10_plus
phihyd_bottom,13,0.006112311076786783,0.5173788126971987,84.64536673568364,True,tail_k10_plus
phihyd_bottom,14,0.0032956343351138962,0.39657322085565994,120.33289513654569,True,tail_k10_plus
phihyd_bottom,15,0.0016079535268040167,0.36036400579743916,224.11344593627777,True,tail_k10_plus
phihyd_bottom,16,0.0008727143505691654,0.3012682176712487,345.2082774561551,True,tail_k10_plus
phihyd_bottom,17,0.0004046434213200377,0.1924400545656681,475.57934820214155,True,tail_k10_plus
phihyd_bottom,18,0.0002083868079353124,0.12790509681734774,613.7869190695226,False,intermediate_or_invalid
phihyd_bottom,19,0.00011332025185563705,0.09296607344100873,820.3835759158188,False,intermediate_or_invalid
phihyd_bottom,20,6.930167857919717e-05,0.10468652205955652,1510.5914345194678,False,intermediate_or_invalid
phihyd_bottom,21,5.163814017174041e-05,0.09846041179779504,1906.7381487855885,False,intermediate_or_invalid
phihyd_bottom,22,5.94478474845851e-05,0.07534947416020764,1267.4886871176598,False,intermediate_or_invalid
phihyd_bottom,23,6.5315196843585e-05,0.04648536215018895,711.7082148816114,False,intermediate_or_invalid
phihyd_bottom,24,6.628117941242332e-05,0.03758745264882843,567.0908843511507,False,intermediate_or_invalid
phihyd_bottom,25,6.773348391612268e-05,0.042122973108457196,621.8929054442247,False,intermediate_or_invalid
phihyd_bottom,26,7.72922636113233e-05,0.038680317552967206,500.44229196698734,False,intermediate_or_invalid
phihyd_bottom,27,0.00010566884076171037,0.037291127163916825,352.9056143240047,False,intermediate_or_invalid
phihyd_bottom,28,0.0001383937069072595,0.03801900340865056,274.7162732921655,False,intermediate_or_invalid
phihyd_bottom,29,0.00015764137966066806,0.026735997738109696,169.60012526952272,False,intermediate_or_invalid
phihyd_bottom,30,0.0001073220503814001,0.02270799884055224,211.58744880341706,False,intermediate_or_invalid
