metric,method,field,lead_days,finite_members,mean,p10,p90
rmse,selected,surface_speed,1620,15,0.13057154253622485,0.11315254195047812,0.14383827586467005
rmse,selected,surface_speed,1630,15,0.13443878189882552,0.11649736115514908,0.14793037158189992
rmse,selected,surface_speed,1640,15,0.1384512406624237,0.11993258113034441,0.15212272852601585
rmse,selected,surface_speed,1650,15,0.14262302872835575,0.12361476671509641,0.15654476338403941
rmse,selected,surface_speed,1660,15,0.14692589250869384,0.12746746342953078,0.16131668941009072
rmse,selected,surface_speed,1670,15,0.15140214065284427,0.13147087313293543,0.1663036866486557
rmse,selected,surface_speed,1680,15,0.15605595398139605,0.13571761397326293,0.17157030694974287
rmse,selected,surface_speed,1690,15,0.16081779395416823,0.14004909360279177,0.1770221495524146
rmse,selected,surface_speed,1700,15,0.16576116219403975,0.14462206772269073,0.18266908014585606
rmse,selected,surface_speed,1710,15,0.170921889970647,0.14945663729121633,0.18865965189104109
rmse,selected,surface_speed,1720,15,0.17621155559202029,0.15439021395112626,0.1948014764676505
rmse,selected,surface_speed,1730,15,0.1816719223108637,0.1595679745701487,0.20109190977711125
rmse,selected,surface_speed,1740,15,0.1873523066400851,0.16503259993772318,0.20767061934544082
rmse,selected,surface_speed,1750,15,0.19320418240837303,0.1705920229676745,0.21437566319019496
rmse,selected,surface_speed,1760,15,0.1992681666035994,0.1763508425695466,0.2212011819782164
rmse,selected,surface_speed,1770,15,0.20555961161324687,0.18232681970850892,0.22832262623566163
rmse,selected,surface_speed,1780,15,0.21207891248946234,0.188416517424557,0.2356447663704317
rmse,selected,surface_speed,1790,15,0.21882136230903745,0.19468216743759542,0.24313492661369815
rmse,selected,surface_speed,1800,15,0.2257830618404104,0.2011671444128182,0.2508835035142433
rmse,selected,surface_speed,1810,15,0.23301621611079665,0.20777692547427756,0.2588064709664207
rmse,selected,surface_speed,1820,15,0.2405376221403202,0.2146631158610924,0.2670739597945394
rmse,selected,surface_speed,1830,15,0.2483248594257568,0.22178195211311746,0.2756466841715609
rmse,selected,surface_speed,1840,15,0.25641415803260925,0.22904571624845216,0.2844405259320773
rmse,selected,surface_speed,1850,15,0.2648158723039219,0.23654675306998807,0.29352814439932395
rmse,selected,surface_speed,1860,15,0.2734905977626695,0.2442676244862401,0.30285223165817
rmse,selected,surface_speed,1870,15,0.2824640630325187,0.25217421484759844,0.31244231338717465
rmse,selected,surface_speed,1880,15,0.29176175781026814,0.2603217099317507,0.3224023299370837
rmse,selected,surface_speed,1890,15,0.30131121484219453,0.268621394027688,0.3325296505996007
rmse,selected,surface_speed,1900,15,0.31111371230845797,0.2771069267898999,0.34282898889069835
rmse,selected,surface_speed,1910,15,0.32120388039860154,0.28587271926797453,0.3533653423382687
rmse,selected,surface_speed,1920,15,0.3315396372264711,0.2947046912632833,0.3641097180599792
rmse,selected,surface_speed,1930,15,0.3421636327133352,0.3036595145039906,0.3751185236079359
rmse,selected,surface_speed,1940,15,0.3531298715517356,0.3128864577793196,0.3864791222080666
rmse,selected,surface_speed,1950,15,0.364403510129355,0.322264466083797,0.3986215621205295
rmse,selected,surface_speed,1960,15,0.3760251348709158,0.3317959847648313,0.41100099983390176
rmse,selected,surface_speed,1970,15,0.3879821303722808,0.34152696515747144,0.4236333629460718
rmse,selected,surface_speed,1980,15,0.40026005150989014,0.35146789606854495,0.43642877993517276
rmse,selected,surface_speed,1990,15,0.41292333969529876,0.3617881777239834,0.449429368025178
rmse,selected,surface_speed,2000,15,0.42598677424857295,0.37249482477490037,0.4628006920877015
rmse,selected,phihyd_surface,0,15,1.6052560312671315e-09,1.5259158532821509e-09,1.7311576993798157e-09
rmse,selected,phihyd_surface,10,15,0.0016641888660551038,0.0015093429309911393,0.0018495970425888816
rmse,selected,phihyd_surface,20,15,0.00237945205271964,0.0021813039817654162,0.0026750251665113405
rmse,selected,phihyd_surface,30,15,0.0029831418264764016,0.002655096491779334,0.003514976981777185
rmse,selected,phihyd_surface,40,15,0.0035303003112168293,0.0031435591536255834,0.004192926880765729
rmse,selected,phihyd_surface,50,15,0.00408476830085484,0.003716935640623433,0.004863024516618335
rmse,selected,phihyd_surface,60,15,0.004629744359315163,0.004233097600755607,0.005473950227770975
rmse,selected,phihyd_surface,70,15,0.005192727126831688,0.00482577912107784,0.006062752732728194
rmse,selected,phihyd_surface,80,15,0.005756026991746867,0.005335275084561468,0.006637783878504139
rmse,selected,phihyd_surface,90,15,0.0063339506093271075,0.005896606993016936,0.0071739325822213
rmse,selected,phihyd_surface,100,15,0.006924974239040646,0.006473172585082205,0.007685858249751666
rmse,selected,phihyd_surface,110,15,0.007555512523727153,0.007049805515969849,0.008313870449664695
rmse,selected,phihyd_surface,120,15,0.008220128849997614,0.007691015690183694,0.008949731934896243
rmse,selected,phihyd_surface,130,15,0.008916752245707066,0.008390820095856354,0.009600238865887227
rmse,selected,phihyd_surface,140,15,0.009646080847565318,0.00914388193862741,0.01032893530140964
rmse,selected,phihyd_surface,150,15,0.010435756580688172,0.009928748847105782,0.011104950333204014
rmse,selected,phihyd_surface,160,15,0.01128227962145124,0.010792002896755148,0.012032400353738114
rmse,selected,phihyd_surface,170,15,0.01215644458502313,0.011630200899234147,0.013001813401450202
rmse,selected,phihyd_surface,180,15,0.01307913635213518,0.012457587705352071,0.013958819996750943
rmse,selected,phihyd_surface,190,15,0.014063892300648778,0.013387603049358397,0.015005779331170735
rmse,selected,phihyd_surface,200,15,0.015087901487957306,0.014386269055002742,0.016123758814554297
rmse,selected,phihyd_surface,210,15,0.0161554158723201,0.01524953928446346,0.017363729935671604
rmse,selected,phihyd_surface,220,15,0.01728270022488818,0.016223254778496808,0.018603676853151924
rmse,selected,phihyd_surface,230,15,0.018450196556396858,0.01737116056365891,0.019901428113177688
rmse,selected,phihyd_surface,240,15,0.019659519709990223,0.018481742806801663,0.021268077695432108
rmse,selected,phihyd_surface,250,15,0.02093784828476316,0.019613201976260247,0.02265913778008928
rmse,selected,phihyd_surface,260,15,0.022222436584073323,0.020864950693112328,0.02409158267610919
rmse,selected,phihyd_surface,270,15,0.023519305528173457,0.0219534297553925,0.025378775215854948
rmse,selected,phihyd_surface,280,15,0.024889593791121645,0.023112107454247233,0.026965578874371413
rmse,selected,phihyd_surface,290,15,0.026322753506063033,0.024417607155795277,0.028513308005816248
rmse,selected,phihyd_surface,300,15,0.0278058251552531,0.025754946625152136,0.03001131871047556
rmse,selected,phihyd_surface,310,15,0.02930297548999948,0.027074333869230534,0.031578590214417265
rmse,selected,phihyd_surface,320,15,0.03085172071380408,0.028375313914405488,0.033252827840673974
rmse,selected,phihyd_surface,330,15,0.032448664246497685,0.029810869887214566,0.03497185955968827
rmse,selected,phihyd_surface,340,15,0.03407978410714292,0.031174430932982534,0.036685660671616285
rmse,selected,phihyd_surface,350,15,0.0357572476019435,0.032678824565982804,0.03844772805372349
rmse,selected,phihyd_surface,360,15,0.03748348026860677,0.034204135121007985,0.040268360863903424
rmse,selected,phihyd_surface,370,15,0.03924026241635177,0.03567666995901666,0.04219267885462304
rmse,selected,phihyd_surface,380,15,0.041015582463876626,0.037262746805096315,0.04417808972781612
rmse,selected,phihyd_surface,390,15,0.04285167462030444,0.038877023797996985,0.046205457630868994
