phase,arm,field,lead_days,mean_rmse,p10,p90
training,0.0,phihyd_surface,300,0.0162729936117505,0.013442474745648171,0.01887890809132001
training,0.0,phihyd_surface,310,0.016802924537143334,0.013704902387982557,0.019608200094957087
training,0.0,phihyd_surface,320,0.017316452750328944,0.014007222540810703,0.020448575783203984
training,0.0,phihyd_surface,330,0.017883485749029558,0.014299667542234525,0.021403052364821405
training,0.0,phihyd_surface,340,0.018488677455536194,0.014675621883764603,0.02228917911263639
training,0.0,phihyd_surface,350,0.019107300004566376,0.01501814571470756,0.023046546675517476
training,0.0,phihyd_surface,360,0.019736305231859805,0.01542159427690759,0.023962742206011273
training,0.0,phihyd_surface,370,0.020439685347495594,0.01593092578184078,0.025060740478919787
training,0.0,phihyd_surface,380,0.02115910024490291,0.016531134163648993,0.025781490279015672
training,0.0,phihyd_surface,390,0.021928987078523587,0.017153727331130676,0.0265785616760091
training,0.0,phihyd_surface,400,0.022801454726428284,0.017744731247822262,0.02772802947325768
training,0.0,phihyd_surface,410,0.023706575394950396,0.0184784215784435,0.028653669908571742
training,0.0,phihyd_surface,420,0.024563576770682046,0.019195962615763642,0.029457502967506453
training,0.0,phihyd_surface,430,0.025477701971499518,0.019829509572909628,0.03053552447972527
training,0.0,phihyd_surface,440,0.026496885803684433,0.02054786665371361,0.03175015440060023
training,0.0,phihyd_surface,450,0.027527267392434485,0.021464642286422683,0.03285579310317107
training,0.0,phihyd_surface,460,0.02853986128122596,0.022487473751929204,0.03386105912113654
training,0.0,phihyd_surface,470,0.029629022844700453,0.023519943679007404,0.035043609558910435
training,0.0,phihyd_surface,480,0.030798742435628534,0.02435138606995494,0.036317509012350514
training,0.0,phihyd_surface,490,0.03198430204344056,0.025132980145029078,0.037634119674600855
training,0.0,phihyd_surface,500,0.03325721790600636,0.026006140796342146,0.03902846386454437
training,0.0,phihyd_surface,510,0.03450404239526872,0.02657727969557264,0.040390635624797486
training,0.0,phihyd_surface,520,0.03581917161734031,0.02736331954097903,0.04233970399506871
training,0.0,phihyd_surface,530,0.037214415451132056,0.02834865732964731,0.04429071641423864
training,0.0,phihyd_surface,540,0.03865613588523263,0.029446214378207606,0.046226665190981356
training,0.0,phihyd_surface,550,0.0400648648598947,0.030584193465709484,0.04813476142467329
training,0.0,phihyd_surface,560,0.04161298201378384,0.031766205423870195,0.04978624718378567
training,0.0,phihyd_surface,570,0.04324101846589806,0.03291531558105878,0.05144056828563537
training,0.0,phihyd_surface,580,0.04481709063056765,0.034245550599705264,0.05299657680511884
training,0.0,phihyd_surface,590,0.04633978530034762,0.03566520690624919,0.054659934327651746
training,0.0,phihyd_surface,600,0.047983362305901334,0.037014536546094046,0.056426137949829105
training,0.0,phihyd_surface,610,0.04966812119707751,0.03833852915541987,0.058193266161266896
training,0.0,phihyd_surface,620,0.05130716027952017,0.03976892126412019,0.05982500513671755
training,0.0,phihyd_surface,630,0.05301309003077246,0.04132690157039865,0.06168531547280728
training,0.0,phihyd_surface,640,0.05482113302457744,0.042767041223938145,0.06361087293104825
training,0.0,phihyd_surface,650,0.05660824531354878,0.04405928952319,0.06537519691472432
training,0.0,phihyd_surface,660,0.05844230842822521,0.045577662492425064,0.06723667188611894
training,0.0,phihyd_surface,670,0.06051845817738295,0.047562037155015814,0.06939394496542194
training,0.0,phihyd_surface,680,0.062470205815189674,0.04908216331179577,0.07145162955996236
training,0.0,phihyd_surface,690,0.06442270292034276,0.05024275722946574,0.07382136648468257
training,0.0,phihyd_surface,700,0.06664647073188784,0.052107921228565744,0.0768582350986668
training,0.0,phihyd_surface,710,0.06901404663404978,0.054460969580671655,0.07997528490499772
training,0.0,phihyd_surface,720,0.0711812800688714,0.05661832763076485,0.08268672164557803
training,0.0,phihyd_surface,730,0.07362473029923551,0.058763157254688114,0.0858912570719692
training,0.0,phihyd_surface,740,0.0762486791745701,0.060948181057635296,0.08915312990467104
training,0.0,phihyd_surface,750,0.07883053333637542,0.06333584075547326,0.09214149806670136
training,0.0,phihyd_surface,760,0.08133198581002819,0.06575363091109097,0.09522528008385164
training,0.0,phihyd_surface,770,0.08412218084663514,0.06833087515834176,0.09876843708345141
training,0.0,phihyd_surface,780,0.08694339548680431,0.07088942148057675,0.10218830845964723
training,0.0,phihyd_surface,790,0.08969002604138333,0.07377075461735276,0.10537973747978496
training,0.0,phihyd_surface,800,0.0924674271439114,0.07638539503359701,0.10867659593830743
training,0.0,phihyd_surface,810,0.09545087217991137,0.0790602728625444,0.11226317421121888
training,0.0,phihyd_surface,820,0.09837922394043666,0.08127205272522933,0.11603909968367628
training,0.0,phihyd_surface,830,0.10133468128085261,0.08339095833896688,0.11982289938098081
training,0.0,phihyd_surface,840,0.10443030228362624,0.08557562448369947,0.12368321499602435
training,0.0,phihyd_surface,850,0.1076634075915707,0.08815492965246433,0.12760101972897256
training,0.0,phihyd_surface,860,0.11079477575199756,0.09063716685978658,0.13184528144781554
training,0.0,phihyd_surface,870,0.11407972164019387,0.09328194014514597,0.13657392780186908
training,0.0,phihyd_surface,880,0.11743048389362021,0.09580123743997407,0.14115787901536236
training,0.0,phihyd_surface,890,0.12086108733046945,0.09847918920141316,0.1454519605784918
training,0.0,phihyd_surface,900,0.12442549119007909,0.10119173377492224,0.1502062400991081
training,0.0,phihyd_surface,910,0.12808917102432432,0.10392276112293053,0.1550930077893034
training,0.0,phihyd_surface,920,0.13171600578983958,0.10653026732112499,0.15986413378192707
training,0.0,phihyd_surface,930,0.13546193059458694,0.10922227517026305,0.16503723789793978
training,0.0,phihyd_surface,940,0.13936026047320144,0.11228109567496462,0.17055863337445684
training,0.0,phihyd_surface,950,0.14336504177573256,0.11576108772850596,0.17616575729170386
training,0.0,phihyd_surface,960,0.14752108916678244,0.11918326013137416,0.18183462303077666
training,0.0,phihyd_surface,970,0.15174183918969683,0.12239132446393063,0.1877118964467507
training,0.0,phihyd_surface,980,0.15593336435769045,0.125793498044404,0.19365579558321602
training,0.0,phihyd_surface,990,0.16028483940346222,0.129196167123212,0.19987341718851404
training,0.0,phihyd_surface,1000,0.164763878009398,0.13241666555351536,0.20603819498103054
training,0.0,sst,0,1.1318835574183149e-09,1.0135182918150389e-09,1.2538028943845416e-09
training,0.0,sst,10,0.0027241909557113304,0.0021554252724045055,0.0031337797887671212
training,0.0,sst,20,0.003953527183725427,0.0031420017087234295,0.004959640944230483
training,0.0,sst,30,0.004869502023600068,0.0038078925619304126,0.006178239120342863
training,0.0,sst,40,0.0056398448847376475,0.004389088499941197,0.007194458741605688
training,0.0,sst,50,0.006395860047902273,0.004958134509325671,0.008001587638753973
training,0.0,sst,60,0.0070106139425958865,0.005538280689072228,0.008860016706165163
training,0.0,sst,70,0.007675823419619055,0.0061441000273590495,0.009615650995692147
training,0.0,sst,80,0.008230426595655387,0.006278251392535648,0.010149027969527992
training,0.0,sst,90,0.008887481435216496,0.006941446222755338,0.010865982074635632
training,0.0,sst,100,0.009479011845677444,0.007470692401319431,0.01171866689480687
training,0.0,sst,110,0.009998284422899167,0.00791025174228222,0.012253427403133198
training,0.0,sst,120,0.010483810479860366,0.00828129967591006,0.012654839130563646
training,0.0,sst,130,0.011020571834295695,0.008733826285773549,0.013121987755685679
training,0.0,sst,140,0.01160636151236448,0.009426971021399503,0.013790114785792371
training,0.0,sst,150,0.012247961577211228,0.009809800852688611,0.014294777858944506
training,0.0,sst,160,0.012996669022495178,0.010075256538076855,0.015251705968180608
training,0.0,sst,170,0.01364986026300873,0.01051102060620363,0.01614041193907416
training,0.0,sst,180,0.014381839929168094,0.01113650396530399,0.017840352631668974
training,0.0,sst,190,0.01525235773359887,0.012102089161320443,0.01934620029226441
training,0.0,sst,200,0.01614468295015306,0.012681726907324442,0.020355905183160265
training,0.0,sst,210,0.016901342980983627,0.01320973072191953,0.020992278158558107
training,0.0,sst,220,0.017730527434199617,0.013995121236294737,0.021898436461298867
training,0.0,sst,230,0.018565526709918234,0.014939577793835241,0.022635501139339168
training,0.0,sst,240,0.019482213089477066,0.01588762112833726,0.02382501920144054
training,0.0,sst,250,0.020358738709675785,0.016151626530360248,0.024981358554912132
training,0.0,sst,260,0.021499892196144614,0.016725948406140327,0.026467567829879742
training,0.0,sst,270,0.022606092019124717,0.017587378332628568,0.027677395934267036
training,0.0,sst,280,0.023713954760761994,0.01855779890859041,0.029054737715394265
training,0.0,sst,290,0.024876567305002054,0.019617799583775738,0.030561860221852585
training,0.0,sst,300,0.026107067168419828,0.020531198304755496,0.03236082421696251
training,0.0,sst,310,0.027399862569455573,0.02141387285772181,0.03412818651708461
training,0.0,sst,320,0.02882879788254413,0.022039739619643978,0.03597857762875289
training,0.0,sst,330,0.030370321985355365,0.02253954528587263,0.038033526480093775
training,0.0,sst,340,0.03199251107509622,0.02358871920322433,0.04041293223557997
training,0.0,sst,350,0.033707300904685586,0.02475398849934651,0.042757237234853494
