scope,field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
fixed_S2_validation_figure,sst,model,60,0.011404364928603172,0.22380300752974644,0.3040007269795261
fixed_S2_validation_figure,sst,model,70,0.012588759263356527,0.24907605847327716,0.32988064088438473
fixed_S2_validation_figure,sst,model,80,0.01371672097593546,0.2785286957840636,0.37924802774876354
fixed_S2_validation_figure,sst,model,90,0.014920145894090334,0.295079088015079,0.40847747080032454
fixed_S2_validation_figure,sst,model,100,0.016132080492873988,0.30296725757849635,0.4214190513825479
fixed_S2_validation_figure,sst,model,110,0.01728914069632689,0.3259596440567549,0.45688320088235757
fixed_S2_validation_figure,sst,model,120,0.01857014882067839,0.4009635329094936,0.4948718197837406
fixed_S2_validation_figure,sst,model,130,0.019860385606686275,0.5190975859366311,0.5253110178726672
fixed_S2_validation_figure,sst,model,140,0.020780810465415318,0.7305054233687917,0.5591487893275872
fixed_S2_validation_figure,sst,model,150,0.0217270794014136,2.9502113844406783,0.591603513611098
fixed_S2_validation_figure,sst,model,160,0.022824465483427047,1.2728829126970431,0.619559954684693
fixed_S2_validation_figure,sst,model,170,0.023820985481142996,0.706956762545774,0.6527918403188057
fixed_S2_validation_figure,sst,model,180,0.024676812067627906,0.58620926671931,0.6621744955552917
fixed_S2_validation_figure,sst,model,190,0.025445262094338734,0.5230678562483748,0.6744507539340102
fixed_S2_validation_figure,sst,model,200,0.02622483472029368,0.5194821783324818,0.7191306709566242
fixed_S2_validation_figure,sst,climatology,0,0.0365861768523852,nan,1.0
fixed_S2_validation_figure,sst,climatology,10,0.03649947742621104,1.5526601642022952,1.0
fixed_S2_validation_figure,sst,climatology,20,0.0363526739180088,0.9981768320686562,1.0
fixed_S2_validation_figure,sst,climatology,30,0.03739090537031491,0.8443513207282757,1.0
fixed_S2_validation_figure,sst,climatology,40,0.03720086216926575,0.7485742051119662,1.0
fixed_S2_validation_figure,sst,climatology,50,0.036080152293046314,0.7142355493509152,1.0
fixed_S2_validation_figure,sst,climatology,60,0.03751426860690117,0.7361923432006107,1.0
fixed_S2_validation_figure,sst,climatology,70,0.03816155816117923,0.7550490316907452,1.0
fixed_S2_validation_figure,sst,climatology,80,0.03616820648312569,0.7344235840524332,1.0
fixed_S2_validation_figure,sst,climatology,90,0.03652623941500981,0.7223876691092275,1.0
fixed_S2_validation_figure,sst,climatology,100,0.038280377785364784,0.718921597361469,1.0
fixed_S2_validation_figure,sst,climatology,110,0.03784148916602135,0.7134419550275519,1.0
fixed_S2_validation_figure,sst,climatology,120,0.03752516930301984,0.8102371500658797,1.0
fixed_S2_validation_figure,sst,climatology,130,0.037806908537944155,0.9881718986949896,1.0
fixed_S2_validation_figure,sst,climatology,140,0.037165081749359764,1.3064598141172263,1.0
fixed_S2_validation_figure,sst,climatology,150,0.036725744356711706,4.986805041830865,1.0
fixed_S2_validation_figure,sst,climatology,160,0.036839801073074344,2.0544951349298226,1.0
fixed_S2_validation_figure,sst,climatology,170,0.03649093632896741,1.0829742635883985,1.0
fixed_S2_validation_figure,sst,climatology,180,0.03726632818579674,0.8852791381337057,1.0
fixed_S2_validation_figure,sst,climatology,190,0.037727383275826774,0.7755464030507303,1.0
fixed_S2_validation_figure,sst,climatology,200,0.03646741236249606,0.722375222352066,1.0
fixed_S2_validation_figure,sst,persistence,0,0.0,nan,0.0
fixed_S2_validation_figure,sst,persistence,10,0.02350770520667235,1.0,0.6440559389979368
fixed_S2_validation_figure,sst,persistence,20,0.03641907200217247,1.0,1.0018264979438216
fixed_S2_validation_figure,sst,persistence,30,0.04428358723719915,1.0,1.1843411331878693
fixed_S2_validation_figure,sst,persistence,40,0.04969562391440074,1.0,1.3358729076837845
fixed_S2_validation_figure,sst,persistence,50,0.05051576097806295,1.0,1.400098330178024
fixed_S2_validation_figure,sst,persistence,60,0.05095715671777725,1.0,1.3583406690328785
fixed_S2_validation_figure,sst,persistence,70,0.05054182782769203,1.0,1.3244173001066537
fixed_S2_validation_figure,sst,persistence,80,0.04924706568320592,1.0,1.3616120474810436
fixed_S2_validation_figure,sst,persistence,90,0.05056321000059446,1.0,1.3842982691455612
fixed_S2_validation_figure,sst,persistence,100,0.05324694365262985,1.0,1.3909722613288062
fixed_S2_validation_figure,sst,persistence,110,0.053040739893913266,1.0,1.4016557239914236
fixed_S2_validation_figure,sst,persistence,120,0.04631380985180537,1.0,1.2342065528823145
fixed_S2_validation_figure,sst,persistence,130,0.03825944513082504,1.0,1.011969679891354
fixed_S2_validation_figure,sst,persistence,140,0.028447167947888374,1.0,0.7654272938166866
fixed_S2_validation_figure,sst,persistence,150,0.007364583946764469,1.0,0.20052919486759363
fixed_S2_validation_figure,sst,persistence,160,0.01793131579955419,1.0,0.4867375848199115
fixed_S2_validation_figure,sst,persistence,170,0.03369510943690936,1.0,0.9233829774370942
fixed_S2_validation_figure,sst,persistence,180,0.04209556803107262,1.0,1.1295872193578878
fixed_S2_validation_figure,sst,persistence,190,0.048646197219689685,1.0,1.2894134974597873
fixed_S2_validation_figure,sst,persistence,200,0.05048264563083649,1.0,1.3843221210494776
fixed_S2_validation_figure,phihyd_surface,model,0,0.0,nan,0.0
fixed_S2_validation_figure,phihyd_surface,model,10,0.0032415721410264573,0.25183286434809776,0.045893174769790886
